Name,Version
libboost1.58-tools-dev,1.58.0
libbrlapi0.6:amd64,5.3.1
libbs2b0:amd64,3.1.0
libbsd0:amd64,0.8.2
libbz2-1.0:amd64,1.0.6
libbz2-dev:amd64,1.0.6
libc-ares2:amd64,1.10.0
libc-bin,2.23
libc-dev-bin,2.23
libc6:amd64,2.23
libc6:i386,2.23
libc6-dbg:amd64,2.23
libc6-dbg:i386,2.23
libc6-dev:amd64,2.23
libc6-dev-i386,2.23
libc6-dev-x32,2.23
libc6-i386,2.23
libc6-x32,2.23
libcaca0:amd64,0.99.beta19
libcacard0:amd64,2.5.0
libcairo-gobject2:amd64,1.14.6
libcairo-perl,1.106
libcairo2:amd64,1.14.6
libcairomm-1.0-1v5:amd64,1.12.0
libcamel-1.2-54:amd64,3.18.5
libcamlp4-ocaml-dev,4.02.1
libcanberra-gtk-module:amd64,0.30
libcanberra-gtk0:amd64,0.30
libcanberra-gtk3-0:amd64,0.30
libcanberra-gtk3-module:amd64,0.30
libcanberra-pulse:amd64,0.30
libcanberra0:amd64,0.30
libcap-ng0:amd64,0.7.7
libcap2:amd64,2.24
libcap2-bin,2.24
libcapnp-0.5.3:amd64,0.5.3
libcapstone3,3.0.4
libcc1-0:amd64,5.4.0
libcdio-cdda1:amd64,0.83
libcdio-paranoia1:amd64,0.83
libcdio13:amd64,0.83
libcdparanoia0:amd64,3.10.2
libcdr-0.1-1:amd64,0.1.2
libcdt5,2.38.0
libcgi-fast-perl,2.10
libcgi-pm-perl,4.26
libcgmanager0:amd64,0.39
libcgraph6,2.38.0
libcheese-gtk25:amd64,3.18.1
libcheese8:amd64,3.18.1
libchromaprint0:amd64,1.3
libcilkrts5:amd64,5.4.0
libclang-common-5.0-dev,5.0
libclass-accessor-perl,0.34
libclc-amdgcn,0.2.0
libclc-dev,0.2.0
libclc-r600,0.2.0
libclone-perl,0.38
libcloog-isl4:amd64,0.18.4
libclucene-contribs1v5:amd64,2.3.3.4
libclucene-core1v5:amd64,2.3.3.4
libclutter-1.0-0:amd64,1.24.2
libclutter-1.0-common,1.24.2
libclutter-gst-3.0-0:amd64,3.0.18
