Name,Version
libx32atomic1,8.2.0-1ubuntu2~18.04
libx32cilkrts5,7.3.0-27ubuntu1~18.04
libx32gcc-7-dev,7.3.0-27ubuntu1~18.04
libx32gcc1,1:8.2.0-1ubuntu2~18.04
libx32gomp1,8.2.0-1ubuntu2~18.04
libx32itm1,8.2.0-1ubuntu2~18.04
libx32quadmath0,8.2.0-1ubuntu2~18.04
libx32stdc++-7-dev,7.3.0-27ubuntu1~18.04
libx32stdc++6,8.2.0-1ubuntu2~18.04
libx32ubsan0,7.3.0-27ubuntu1~18.04
libxau6:amd64,1:1.0.8-1
libxcb-dri2-0:amd64,1.13-1
libxcb-dri3-0:amd64,1.13-1
